Worksheet Filter,Measure Display,Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Seasonally Adjusted,last_updated,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,property_type_id,Region,Region Type,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id
Value,,1,0.953344172,0.30%,2.10%,Atlanta,436,5.60%,25.30%,990,0.20%,-24.60%,FALSE,3/15/2020 14:30,106.5,7.5,-22.5,180.5807623,0.042331727,0.059053059,325000,0.017373611,0.160714286,152.5929787,0.031142671,-0.045536407,$268K,3.80%,-9.90%,,,,636,24.70%,5.60%,0.369747899,0.172564801,0.155462185,"Atlanta, GA",12060,119,0.676056338,1.125,12/1/2011,90,2/29/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.149082569,-0.027672879,0.051381419,Georgia,GA,148918
Value,,1,0.942838499,-1.10%,1.70%,Atlanta,465,6.70%,37.20%,1074,8.50%,-18.50%,FALSE,3/15/2020 14:30,113,6.5,-14.5,188.4333963,0.043485441,0.005079997,395000,0.215384615,0.128571429,159.4032236,0.044630133,0.002382234,$293K,9.00%,3.50%,,,,831,30.70%,7.40%,0.293103448,-0.076644451,0.145735027,"Atlanta, GA",12060,116,-0.025210084,0.221052632,1/1/2012,90,3/31/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.116129032,-0.032953537,0.0187839,Georgia,GA,148918
Value,,1,0.948570789,0.60%,1.40%,Atlanta,515,10.80%,22.60%,1034,-3.70%,-23.60%,FALSE,3/15/2020 14:30,94.5,-18.5,-28.5,193.6231446,0.027541553,0.018651872,399900,0.012405063,0.030125836,163.6316257,0.026526453,0.026714096,$295K,0.90%,0.90%,,,,880,5.90%,7.10%,0.214285714,-0.078817734,0.045454545,"Atlanta, GA",12060,168,0.448275862,1.181818182,2/1/2012,90,4/30/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.114563107,-0.001565925,0.000277393,Georgia,GA,148918
Value,,1,0.949010726,0.00%,1.40%,Atlanta,588,14.20%,21.70%,1046,1.20%,-20.90%,FALSE,3/15/2020 14:30,74,-20.5,-45,192.6900585,-0.004819084,0.046001685,410000,0.025256314,0.080511266,167.4641649,0.023421751,0.048460992,$306K,3.60%,3.20%,,,,855,-2.80%,5.80%,0.205128205,-0.009157509,0.05967366,"Atlanta, GA",12060,117,-0.303571429,0.063636364,3/1/2012,90,5/31/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.12585034,0.011287233,0.032682638,Georgia,GA,148918
Value,,1,0.955325818,0.60%,1.80%,Atlanta,610,3.70%,18.90%,1006,-3.80%,-23.70%,FALSE,3/15/2020 14:30,63,-11,-43,188.5651233,-0.021407099,0.065019782,384900,-0.061219512,0.072144847,168.6746988,0.007228614,0.035384316,$329K,7.70%,10.00%,,,,772,-9.70%,1.30%,0.204225352,-0.000902853,0.027142019,"Atlanta, GA",12060,142,0.213675214,0.479166667,4/1/2012,90,6/30/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.142622951,0.016772611,0.045157064,Georgia,GA,148918
Value,,1,0.954798802,-0.10%,2.10%,Atlanta,659,8.00%,27.00%,961,-4.50%,-24.30%,FALSE,3/15/2020 14:30,68,5,-40,190.3739591,0.009592632,0.123676543,399900,0.038971161,0.21550152,176.6304348,0.047166149,0.077968762,$360K,9.40%,16.50%,,,,692,-10.40%,-2.40%,0.223214286,0.018988934,0.042363222,"Atlanta, GA",12060,112,-0.211267606,0.191489362,5/1/2012,90,7/31/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.142640364,1.74E-05,0.05400838,Georgia,GA,148918
Value,,1,0.956032971,0.10%,2.00%,Atlanta,626,-5.00%,19.90%,913,-5.00%,-28.50%,FALSE,3/15/2020 14:30,73,5,-29,188.3210034,-0.010783805,0.117006428,362000,-0.094773693,0.207069023,176.0873835,-0.003074506,0.102562246,$355K,-1.40%,22.50%,,,,656,-5.20%,-9.50%,0.226890756,0.003676471,-0.020421072,"Atlanta, GA",12060,119,0.0625,0.279569892,6/1/2012,90,8/31/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.153354633,0.010714268,0.053928246,Georgia,GA,148918
Value,,1,0.95525027,-0.10%,1.50%,Atlanta,558,-10.90%,19.20%,890,-2.50%,-27.50%,FALSE,3/15/2020 14:30,79,6,-25,190.9825715,0.014133145,0.1550752,385000,0.063535912,0.203501094,170.823892,-0.029891361,0.107783464,$331K,-6.80%,18.20%,,,,610,-7.00%,-6.60%,0.232323232,0.005432476,0.095959596,"Atlanta, GA",12060,99,-0.168067227,0.5,7/1/2012,90,9/30/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.143369176,-0.009985457,0.047420348,Georgia,GA,148918
Value,,1,0.952428206,-0.30%,1.00%,Atlanta,538,-3.60%,22.80%,856,-3.80%,-27.40%,FALSE,3/15/2020 14:30,74,-5,-29,182.7360349,-0.043179524,0.082064073,349950,-0.091038961,0.014347826,163.8400567,-0.040883246,0.088897119,$301K,-9.10%,20.60%,,,,625,2.50%,-4.30%,0.231404959,-0.000918274,0.085571625,"Atlanta, GA",12060,121,0.222222222,0.260416667,8/1/2012,90,10/31/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.167286245,0.02391707,0.0718317,Georgia,GA,148918
Value,,1,0.95370351,0.10%,0.90%,Atlanta,512,-4.80%,29.60%,808,-5.60%,-26.40%,FALSE,3/15/2020 14:30,67,-7,-37,188.5004049,0.031544791,0.114959612,375000,0.071581655,0.054259207,169.8614126,0.036751427,0.133780229,$314K,4.50%,26.30%,,,,584,-6.60%,6.60%,0.247619048,0.016214089,0.067291179,"Atlanta, GA",12060,105,-0.132231405,0.721311475,9/1/2012,90,11/30/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.169921875,0.00263563,0.043339597,Georgia,GA,148918
